time,voltage
-0.0025688456,320.257
-0.0025686456,321.856
-0.0025684456,326.254
-0.0025682456,323.855
-0.0025680456,323.455
-0.0025678456,323.855
-0.0025676456,325.054
-0.0025674456,327.053
-0.0025672456,324.255
-0.0025670456,325.054
-0.0025668456,325.054
-0.0025666456,325.854
-0.0025664456,324.255
-0.0025662456,323.455
-0.0025660456,323.855
-0.0025658456,324.255
-0.0025656456,325.054
-0.0025654456,327.053
-0.0025652456,327.453
-0.0025650456,323.455
-0.0025648456,322.256
-0.0025646456,325.454
-0.0025644456,323.455
-0.0025642456,324.655
-0.0025640456,322.655
-0.0025638456,325.854
-0.0025636456,325.454
-0.0025634456,323.455
-0.0025632456,323.055
-0.0025630456,325.454
-0.0025628456,323.055
-0.0025626456,327.853
-0.0025624456,323.055
-0.0025622456,323.855
-0.0025620456,325.854
-0.0025618456,327.453
-0.0025616456,324.255
-0.0025614456,323.055
-0.0025612456,325.454
-0.0025610456,321.456
-0.0025608456,325.454
-0.0025606456,327.053
-0.0025604456,325.054
-0.0025602456,323.455
-0.0025600456,322.655
-0.0025598456,325.854
-0.0025596456,328.653
-0.0025594456,325.854
-0.0025592456,327.453
-0.0025590456,325.054
-0.0025588456,324.255
-0.0025586456,327.053
-0.0025584456,323.455
-0.0025582456,327.853
-0.0025580456,325.454
-0.0025578456,324.655
-0.0025576456,327.853
-0.0025574456,327.053
-0.0025572456,325.854
-0.0025570456,325.854
-0.0025568456,325.854
-0.0025566456,326.254
-0.0025564456,326.254
-0.0025562456,325.854
-0.0025560456,325.854
-0.0025558456,326.654
-0.0025556456,327.053
-0.0025554456,327.453
-0.0025552456,326.654
-0.0025550456,328.653
-0.0025548456,327.853
-0.0025546456,327.453
-0.0025544456,327.453
-0.0025542456,324.255
-0.0025540456,324.255
-0.0025538456,327.853
-0.0025536456,327.453
-0.0025534456,325.454
-0.0025532456,328.253
-0.0025530456,327.853
-0.0025528456,325.054
-0.0025526456,326.254
-0.0025524456,328.653
-0.0025522456,325.054
-0.0025520456,325.854
-0.0025518456,325.454
-0.0025516456,327.053
-0.0025514456,327.453
-0.0025512456,326.654
-0.0025510456,328.653
-0.0025508456,327.053
-0.0025506456,327.053
-0.0025504456,327.453
-0.0025502456,326.654
-0.0025500456,325.854
-0.0025498456,326.254
-0.0025496456,327.853
-0.0025494456,327.053
-0.0025492456,324.655
-0.0025490456,328.253
-0.0025488456,329.053
-0.0025486456,326.654
-0.0025484456,327.053
-0.0025482456,325.054
-0.0025480456,328.253
-0.0025478456,326.254
-0.0025476456,327.053
-0.0025474456,328.253
-0.0025472456,326.254
-0.0025470456,329.053
-0.0025468456,327.453
-0.0025466456,325.854
-0.0025464456,327.453
-0.0025462456,328.653
-0.0025460456,328.653
-0.0025458456,325.054
-0.0025456456,325.854
-0.0025454456,327.453
-0.0025452456,326.254
-0.0025450456,325.454
-0.0025448456,327.053
-0.0025446456,325.854
-0.0025444456,327.453
-0.0025442456,328.253
-0.0025440456,327.853
-0.0025438456,326.654
-0.0025436456,326.654
-0.0025434456,327.853
-0.0025432456,329.053
-0.0025430456,330.252
-0.0025428456,331.052
-0.0025426456,327.853
-0.0025424456,325.854
-0.0025422456,327.053
-0.0025420456,331.851
-0.0025418456,329.053
-0.0025416456,329.053
-0.0025414456,328.653
-0.0025412456,329.053
-0.0025410456,328.653
-0.0025408456,329.852
-0.0025406456,328.653
-0.0025404456,329.452
-0.0025402456,328.253
-0.0025400456,329.852
-0.0025398456,330.652
-0.0025396456,330.652
-0.0025394456,330.652
-0.0025392456,327.853
-0.0025390456,327.453
-0.0025388456,330.652
-0.0025386456,327.853
-0.0025384456,329.053
-0.0025382456,329.452
-0.0025380456,329.852
-0.0025378456,330.252
-0.0025376456,331.052
-0.0025374456,330.652
-0.0025372456,329.452
-0.0025370456,330.652
-0.0025368456,329.452
-0.0025366456,328.253
-0.0025364456,329.452
